매출액,영업이익,당기순이익,영업이익률,순이익률,ROE,부채비율,당좌비율,유보율,EPS,PER,BPS,PBR,주당배당금,시가배당률,배당성향
2395754,536450,421867,22.39,17.61,21.01,40.68,181.61,24536.12,5421,9.40,30427,1.67,850,1.67,14.09
2437714,588867,443449,24.16,18.19,19.63,36.97,204.12,27531.92,6024,6.42,35342,1.09,1416,3.66,21.92
2304009,277685,217389,12.05,9.44,8.69,34.12,233.57,28856.02,3166,17.63,37528,1.49,1416,2.54,44.73
2383724,370856,278690,15.56,11.69,10.44,-1,-1,-1,4067,17.14,40398,1.73,1561,,
620035,77779,62877,12.54,10.14,10.05,34.14,235.80,28541.64,899,13.73,37600,1.30,,,
598848,71603,52270,11.96,8.73,8.69,34.12,233.57,28856.02,770,17.63,37528,1.49,,,
553252,64473,48849,11.65,8.83,8.45,34.19,237.80,29134.12,720,15.24,38053,1.25,,,
529661,81463,55551,15.38,10.49,8.49,32.67,250.04,29477.97,808,16.52,38534,1.37,,,
669642,123532,93607,18.45,13.98,9.51,36.09,229.69,30242.29,1364,15.89,39446,1.48,,,
631198,101412,79898,16.07,12.66,,,,,1092,63.81,40398,1.73,,,
